,Province/State,Country,Date last updated,Confirmed,Deaths,Recovered,Suspected,
,Anhui,Mainland China,1/25/20 12:00,60,,,4,
,Beijing,Mainland China,1/25/20 12:00,51,,2,,
,Sichuan,Mainland China,1/25/20 12:00,44,,,4,
,Shanghai,Mainland China,1/25/20 12:00,40,1,1,72,
,Shandong,Mainland China,1/25/20 12:00,39,,,,
,Jiangxi,Mainland China,1/25/20 12:00,36,,,,
,Guangxi,Mainland China,1/25/20 12:00,33,,,,
,Jiangsu,Mainland China,1/25/20 12:00,31,,1,,
,Hainan,Mainland China,1/25/20 12:00,19,,,,
,Liaoning,Mainland China,1/25/20 12:00,19,,,,
,Fujian,Mainland China,1/25/20 12:00,18,1,,20,
,Heilongjiang,Mainland China,1/25/20 12:00,15,,,,
,Shaanxi,Mainland China,1/25/20 12:00,15,,,,
,Tianjin,Mainland China,1/25/20 12:00,13,,,,
,Hebei,Mainland China,1/25/20 12:00,13,1,,,
,Yunnan,Mainland China,1/25/20 12:00,11,,,58,
,Shanxi,Mainland China,1/25/20 12:00,9,,,,
,Inner Mongolia,Mainland China,1/25/20 12:00,7,,,,
,Gansu,Mainland China,1/25/20 12:00,7,,,,
,Guizhou,Mainland China,1/25/20 12:00,5,,,,
,Hong Kong,Hong Kong,1/25/20 12:00,5,,,244,
,Ningxia,Mainland China,1/25/20 12:00,4,,,1,
,Jilin,Mainland China,1/25/20 12:00,4,,,,
,Xinjiang,Mainland China,1/25/20 12:00,4,,,,
,Taiwan,Taiwan,1/25/20 12:00,3,,,,
,Macau,Macau,1/25/20 12:00,2,,,,
,Qinghai,Mainland China,1/25/20 12:00,1,,,,
,Washington,US,1/25/20 12:00,1,,,,
,Illinois,US,1/25/20 12:00,1,,,,
,,Japan,1/25/20 12:00,2,,,,
,,Thailand,1/25/20 12:00,7,,,,
,,South Korea,1/25/20 12:00,3,,,,
,,Singapore,1/25/20 12:00,3,,,,
,,Vietnam,1/25/20 12:00,2,,,,
,,France,1/25/20 12:00,3,,,,
,,Australia,1/25/20 12:00,4,,,,
,,Nepal,1/25/20 12:00,1,,,,
,,Malaysia,1/25/20 12:00,3,,,,
,,,,,,,,
,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,
,Hubei,Mainland China,1/26/20 11:00,1058,52,42,,
,Guangdong,Mainland China,1/26/20 11:00,111,,2,,
,Zhejiang,Mainland China,1/26/20 11:00,104,,1,,
,Henan,Mainland China,1/26/20 11:00,83,1,,3,
,Chongqing,Mainland China,1/26/20 11:00,75,,,,
,Hunan,Mainland China,1/26/20 11:00,69,,,,
,Beijing,Mainland China,1/26/20 11:00,68,,2,,
,Anhui,Mainland China,1/26/20 11:00,60,,,4,
,Shandong,Mainland China,1/26/20 11:00,46,,,,
,Sichuan,Mainland China,1/26/20 11:00,44,,,4,
,Shanghai,Mainland China,1/26/20 11:00,40,1,1,72,
,Guangxi,Mainland China,1/26/20 11:00,36,,,,
,Jiangxi,Mainland China,1/26/20 11:00,36,,,,
,Fujian,Mainland China,1/26/20 11:00,35,,,20,
,Jiangsu,Mainland China,1/26/20 11:00,33,,1,,
,Hainan,Mainland China,1/26/20 11:00,22,,,,
,Shaanxi,Mainland China,1/26/20 11:00,22,,,,
,Liaoning,Mainland China,1/26/20 11:00,21,,,,
,Yunnan,Mainland China,1/26/20 11:00,16,,,36,
,Heilongjiang,Mainland China,1/26/20 11:00,15,1,,,
,Tianjin,Mainland China,1/26/20 11:00,14,,,,
,Hebei,Mainland China,1/26/20 11:00,13,1,,,
,Shanxi,Mainland China,1/26/20 11:00,9,,,,
,Hong Kong,Hong Kong,1/26/20 11:00,8,,,244,
,Inner Mongolia,Mainland China,1/26/20 11:00,7,,,,
,Gansu,Mainland China,1/26/20 11:00,7,,,,
,Guizhou,Mainland China,1/26/20 11:00,5,,,,
,Macau,Macau,1/26/20 11:00,5,,,,
,Ningxia,Mainland China,1/26/20 11:00,4,,,,
,Jilin,Mainland China,1/26/20 11:00,4,,,,
,Taiwan,Taiwan,1/26/20 11:00,4,,,,
,Xinjiang,Mainland China,1/26/20 11:00,4,,,,
,Qinghai,Mainland China,1/26/20 11:00,1,,,,
,Washington,US,1/26/20 11:00,1,,,,
,Illinois,US,1/26/20 11:00,1,,,,
,California,US,1/26/20 11:00,1,,,,
,,Japan,1/26/20 11:00,4,,1,,
,,Thailand,1/26/20 11:00,8,,2,,
,,South Korea,1/26/20 11:00,3,,,,
,,Singapore,1/26/20 11:00,4,,,,
,,Vietnam,1/26/20 11:00,2,,,,
,,France,1/26/20 11:00,3,,,,
,,Australia,1/26/20 11:00,4,,,,
,,Nepal,1/26/20 11:00,1,,,,
,,Malaysia,1/26/20 11:00,4,,,,
,Ontario,Canada,1/26/20 11:00,1,,,,
,,,,,,,,
,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,
,Hubei,Mainland China,1/26/20 23:00,1423,76,44,,
,Guangdong,Mainland China,1/26/20 23:00,146,,2,,
,Zhejiang,Mainland China,1/26/20 23:00,128,,1,,
,Henan,Mainland China,1/26/20 23:00,128,1,,,
,Chongqing,Mainland China,1/26/20 23:00,110,,,,
,Hunan,Mainland China,1/26/20 23:00,100,,,,
,Anhui,Mainland China,1/26/20 23:00,70,,,,
,Sichuan,Mainland China,1/26/20 23:00,69,,,,
,Beijing,Mainland China,1/26/20 23:00,68,,2,,
,Shandong,Mainland China,1/26/20 23:00,63,,,,
,Shanghai,Mainland China,1/26/20 23:00,53,1,1,,
,Jiangxi,Mainland China,1/26/20 23:00,48,,,,
,Jiangsu,Mainland China,1/26/20 23:00,47,,1,,
,Guangxi,Mainland China,1/26/20 23:00,46,,,,
,Fujian,Mainland China,1/26/20 23:00,35,,,,
,Liaoning,Mainland China,1/26/20 23:00,23,,,,
,Hainan,Mainland China,1/26/20 23:00,22,,,,
,Shaanxi,Mainland China,1/26/20 23:00,22,,,,
,Heilongjiang,Mainland China,1/26/20 23:00,21,1,,,
,Yunnan,Mainland China,1/26/20 23:00,19,,,,
,Hebei,Mainland China,1/26/20 23:00,18,1,,,
,Tianjin,Mainland China,1/26/20 23:00,14,,,,
,Gansu,Mainland China,1/26/20 23:00,14,,,,
,Shanxi,Mainland China,1/26/20 23:00,13,,,,
,Inner Mongolia,Mainland China,1/26/20 23:00,11,,,,
,Hong Kong,Hong Kong,1/26/20 23:00,8,,,,
,Guizhou,Mainland China,1/26/20 23:00,7,,,,
,Jilin,Mainland China,1/26/20 23:00,6,,,,
,Macau,Macau,1/26/20 23:00,6,,,,
,Xinjiang,Mainland China,1/26/20 23:00,5,,,,
,Ningxia,Mainland China,1/26/20 23:00,4,,,,
,Taiwan,Taiwan,1/26/20 23:00,4,,,,
,Qinghai,Mainland China,1/26/20 23:00,4,,,,
,Washington,US,1/26/20 23:00,1,,,,
,Illinois,US,1/26/20 23:00,1,,,,
,California,US,1/26/20 23:00,2,,,,
,Arizona,US,1/26/20 23:00,1,,,,
,,Japan,1/26/20 23:00,4,,1,,
,,Thailand,1/26/20 23:00,8,,2,,
,,South Korea,1/26/20 23:00,3,,,,
,,Singapore,1/26/20 23:00,4,,,,
,,Vietnam,1/26/20 23:00,2,,,,
,,France,1/26/20 23:00,3,,,,
,,Australia,1/26/20 23:00,4,,,,
,,Nepal,1/26/20 23:00,1,,,,
,,Malaysia,1/26/20 23:00,4,,,,
,Ontario,Canada,1/26/20 23:00,1,,,,
,,,,,,,,
,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,
,Hubei,Mainland China,1/27/20 9:00,1423,76,45,,
,Guangdong,Mainland China,1/27/20 9:00,151,,3,,
,Zhejiang,Mainland China,1/27/20 9:00,128,,1,,
,Henan,Mainland China,1/27/20 9:00,128,,,,
,Chongqing,Mainland China,1/27/20 9:00,110,1,,,
,Hunan,Mainland China,1/27/20 9:00,100,,,,
,Shandong,Mainland China,1/27/20 9:00,75,,,,
,Beijing,Mainland China,1/27/20 9:00,72,,2,,
,Anhui,Mainland China,1/27/20 9:00,70,,,,
,Sichuan,Mainland China,1/27/20 9:00,69,,,,
,Fujian,Mainland China,1/27/20 9:00,56,,,,
,Shanghai,Mainland China,1/27/20 9:00,53,1,3,,
,Jiangxi,Mainland China,1/27/20 9:00,48,,1,,
,Jiangsu,Mainland China,1/27/20 9:00,47,,1,,
,Guangxi,Mainland China,1/27/20 9:00,46,,,,
,Shaanxi,Mainland China,1/27/20 9:00,35,,,,
,Hainan,Mainland China,1/27/20 9:00,33,1,,,
,Liaoning,Mainland China,1/27/20 9:00,27,,,,
,Yunnan,Mainland China,1/27/20 9:00,26,,,,
,Tianjin,Mainland China,1/27/20 9:00,22,,,,
,Heilongjiang,Mainland China,1/27/20 9:00,21,1,,,
,Hebei,Mainland China,1/27/20 9:00,18,1,,,
,Gansu,Mainland China,1/27/20 9:00,14,,,,
,Shanxi,Mainland China,1/27/20 9:00,13,,,,
,Inner Mongolia,Mainland China,1/27/20 9:00,11,,,,
,Hong Kong,Hong Kong,1/27/20 9:00,8,,,,
,Guizhou,Mainland China,1/27/20 9:00,7,,,,
,Ningxia,Mainland China,1/27/20 9:00,7,,,,
,Jilin,Mainland China,1/27/20 9:00,6,,,,
,Macau,Macau,1/27/20 9:00,6,,,,
,Taiwan,Taiwan,1/27/20 9:00,5,,,,
,Xinjiang,Mainland China,1/27/20 9:00,5,,,,
,Qinghai,Mainland China,1/27/20 9:00,4,,,,
,Washington,US,1/27/20 9:00,1,,,,
,Illinois,US,1/27/20 9:00,1,,,,
,California,US,1/27/20 9:00,2,,,,
,Arizona,US,1/27/20 9:00,1,,,,
,,Japan,1/27/20 9:00,4,,1,,
,,Thailand,1/27/20 9:00,8,,2,,
,,South Korea,1/27/20 9:00,4,,,,
,,Singapore,1/27/20 9:00,4,,,,
,,Vietnam,1/27/20 9:00,2,,,,
,,France,1/27/20 9:00,3,,,,
,,Australia,1/27/20 9:00,5,,,,
,,Nepal,1/27/20 9:00,1,,,,
,,Malaysia,1/27/20 9:00,4,,,,
,Ontario,Canada,1/27/20 9:00,1,,,,
,,Cambodia,1/27/20 9:00,1,,,,
,,,,,,,,
,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,
,Hubei,Mainland China,1/27/20 19:00,1423,76,45,,
,Guangdong,Mainland China,1/27/20 19:00,151,,4,,
,Zhejiang,Mainland China,1/27/20 19:00,128,,1,,
,Henan,Mainland China,1/27/20 19:00,128,1,,,
,Chongqing,Mainland China,1/27/20 19:00,110,,,,
,Hunan,Mainland China,1/27/20 19:00,100,,,,
,Beijing,Mainland China,1/27/20 19:00,80,1,2,,
,Shandong,Mainland China,1/27/20 19:00,75,,,,
,Jiangxi,Mainland China,1/27/20 19:00,72,,2,,
,Anhui,Mainland China,1/27/20 19:00,70,,,,
,Sichuan,Mainland China,1/27/20 19:00,69,,,,
,Fujian,Mainland China,1/27/20 19:00,59,,,,
,Shanghai,Mainland China,1/27/20 19:00,53,1,3,,
,Jiangsu,Mainland China,1/27/20 19:00,47,,1,,
,Guangxi,Mainland China,1/27/20 19:00,46,,,,
,Shaanxi,Mainland China,1/27/20 19:00,35,,,,
,Hainan,Mainland China,1/27/20 19:00,33,1,,,
,Liaoning,Mainland China,1/27/20 19:00,27,,,,
,Yunnan,Mainland China,1/27/20 19:00,26,,,,
,Tianjin,Mainland China,1/27/20 19:00,23,,,,
,Heilongjiang,Mainland China,1/27/20 19:00,21,1,,,
,Hebei,Mainland China,1/27/20 19:00,18,1,,,
,Gansu,Mainland China,1/27/20 19:00,14,,,,
,Shanxi,Mainland China,1/27/20 19:00,13,,,,
,Inner Mongolia,Mainland China,1/27/20 19:00,11,,,,
,Hong Kong,Hong Kong,1/27/20 19:00,8,,,,
,Guizhou,Mainland China,1/27/20 19:00,7,,,,
,Ningxia,Mainland China,1/27/20 19:00,7,,,,
,Jilin,Mainland China,1/27/20 19:00,6,,,,
